510395;GLÓRIA D'OESTE;MT;OESTE MATOGROSSENSE;CÁCERES;OESTE;88km;304km;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/MatoGrosso_Municip_GloriaDOeste.svg/1200px-MatoGrosso_Municip_GloriaDOeste.svg.png
510410;GUARANTÃ DO NORTE;MT;VALE DO PEIXOTO;PEIXOTO DE AZEVEDO;NORTE;45km;750km;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/MatoGrosso_Municip_GuarantadoNorte.svg/1200px-MatoGrosso_Municip_GuarantadoNorte.svg.png
510420;GUIRATINGA;MT;SUL MATOGROSSENSE;RONDONÓPOLIS;SUL;110km;340km;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/MatoGrosso_Municip_Guiratinga.svg/1200px-MatoGrosso_Municip_Guiratinga.svg.png
510450;INDIAVAÍ;MT;OESTE MATOGROSSENSE;CÁCERES;OESTE;145km;400km;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/MatoGrosso_Municip_Indiavai.svg/300px-MatoGrosso_Municip_Indiavai.svg.png
510452;IPIRANGA DO NORTE;MT;TELES PIRES;SINOP;NORTE;260km;504km;https://drive.google.com/file/d/1WKNbdO_lLNVQOM30rO_ABcikN6kv0mx4/view?usp=sharing
510454;ITANHANGÁ;MT;TELES PIRES;SINOP;NORTE;290km;470km;https://drive.google.com/file/d/1WLlD6rQobwqY6q8iRUFXueIQWOSjkC5s/view?usp=sharing
510455;ITAÚBA;MT;NORTE MATOGROSSENSE;COLÍDER;LESTE;53km;600km;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/MatoGrosso_Municip_Itauba.svg/1200px-MatoGrosso_Municip_Itauba.svg.png
510460;ITIQUIRA;MT;SUL MATOGROSSENSE;RONDONÓPOLIS;SUL;185km;360km;https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/MatoGrosso_Municip_Itiquira.svg/300px-MatoGrosso_Municip_Itiquira.svg.png
510480;JACIARA;MT;SUL MATOGROSSENSE;RONDONÓPOLIS;SUL;150km;150km;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/MatoGrosso_Municip_Jaciara.svg/300px-MatoGrosso_Municip_Jaciara.svg.png
510490;JANGADA;MT;BAIXADA CUIABANA;CUIABÁ;CENTRO NORTE;85km;85km;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/MatoGrosso_Municip_Jangada.svg/300px-MatoGrosso_Municip_Jangada.svg.png
510500;JAURU;MT;SUDOESTE MATOGROSSENSE;PONTES E LACERDA;OESTE;60km;470km;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/MatoGrosso_Municip_Jauru.svg/300px-MatoGrosso_Municip_Jauru.svg.png
510510;JUARA;MT;VALE DO ARINOS;JUARA;NORTE;0km;700km;https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/MatoGrosso_Municip_Juara.svg/300px-MatoGrosso_Municip_Juara.svg.png
510515;JUÍNA;MT;NOROESTE MATOGROSSENSE;JUÍNA;CENTRO NORTE;0km;770km;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/MatoGrosso_Municip_Juina.svg/1200px-MatoGrosso_Municip_Juina.svg.png
510517;JURUENA;MT;NOROESTE MATOGROSSENSE;JUÍNA;CENTRO NORTE;160km;900km;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/MatoGrosso_Municip_Juruena.svg/1200px-MatoGrosso_Municip_Juruena.svg.png
510520;JUSCIMEIRA;MT;SUL MATOGROSSENSE;RONDONÓPOLIS;SUL;40km;170km;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/MatoGrosso_Municip_Juscimeira.svg/300px-MatoGrosso_Municip_Juscimeira.svg.png
510523;LAMBARI D'OESTE;MT;OESTE MATOGROSSENSE;CÁCERES;OESTE;90km;314km;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/MatoGrosso_Municip_LambariDOeste.svg/1200px-MatoGrosso_Municip_LambariDOeste.svg.png
510525;LUCAS DO RIO VERDE;MT;TELES PIRES;SINOP;NORTE;160km;400km;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/MatoGrosso_Municip_LucasdoRioVerde.svg/300px-MatoGrosso_Municip_LucasdoRioVerde.svg.png
510530;LUCIARA;MT;NORTE ARAGUAIA KARAJÁ;SÃO FÉLIX DO ARAGUAIA;LESTE;95km;1190km;https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/MatoGrosso_Municip_Luciara.svg/1200px-MatoGrosso_Municip_Luciara.svg.png
510558;MARCELÂNDIA;MT;NORTE MATOGROSSENSE;COLÍDER;LESTE;120km;720km;https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/MatoGrosso_Municip_Marcelandia.svg/300px-MatoGrosso_Municip_Marcelandia.svg.png
510560;MATUPÁ;MT;VALE DO PEIXOTO;PEIXOTO DE AZEVEDO;NORTE;12km;700km;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/MatoGrosso_Municip_Matupa.svg/1200px-MatoGrosso_Municip_Matupa.svg.png
510562;MIRASSOL D'OESTE;MT;OESTE MATOGROSSENSE;CÁCERES;OESTE;70km;292km;https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/MatoGrosso_Municip_MirassoldOeste.svg/1200px-MatoGrosso_Municip_MirassoldOeste.svg.png
510590;NOBRES;MT;CENTRO NORTE;DIAMANTINO;CENTRO NORTE;62km;143km;https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/MatoGrosso_Municip_Nobres.svg/300px-MatoGrosso_Municip_Nobres.svg.png
510600;NORTELÂNDIA;MT;CENTRO NORTE;DIAMANTINO;CENTRO NORTE;45km;204km;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/MatoGrosso_Municip_Nortelandia.svg/300px-MatoGrosso_Municip_Nortelandia.svg.png
510610;NOSSA SENHORA DO LIVRAMENTO;MT;BAIXADA CUIABANA;CUIABÁ;CENTRO NORTE;48km;48km;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/MatoGrosso_Municip_NossaSenhoradoLivramento.svg/1200px-MatoGrosso_Municip_NossaSenhoradoLivramento.svg.png
510615;NOVA BANDEIRANTES;MT;ALTO TAPAJÓS;ALTA FLORESTA;NORTE;220km;990km;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/MatoGrosso_Municip_NovaBandeirantes.svg/300px-MatoGrosso_Municip_NovaBandeirantes.svg.png
510620;NOVA BRASILÂNDIA;MT;BAIXADA CUIABANA;CUIABÁ;CENTRO NORTE;230km;230km;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/MatoGrosso_Municip_NovaBrasilandia.svg/1200px-MatoGrosso_Municip_NovaBrasilandia.svg.png
510621;NOVA CANAÃ DO NORTE;MT;NORTE MATOGROSSENSE;COLÍDER;LESTE;69km;700km;https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/MatoGrosso_Municip_NovaCanaadoNorte.svg/1200px-MatoGrosso_Municip_NovaCanaadoNorte.svg.png
510880;NOVA GUARITA;MT;NORTE MATOGROSSENSE;COLÍDER;LESTE;110km;680km;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/MatoGrosso_Municip_NovaGuarita.svg/1200px-MatoGrosso_Municip_NovaGuarita.svg.png
510618;NOVA LACERDA;MT;SUDOESTE MATOGROSSENSE;PONTES E LACERDA;OESTE;100km;510km;https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/MatoGrosso_Municip_NovaLacerda.svg/1200px-MatoGrosso_Municip_NovaLacerda.svg.png
510885;NOVA MARILÂNDIA;MT;MÉDIO NORTE MATOGROSSENSE;TANGARÁ DA SERRA;CENTRO NORTE;120km;270km;https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/MatoGrosso_Municip_NovaMarilandia.svg/1200px-MatoGrosso_Municip_NovaMarilandia.svg.png
510890;NOVA MARINGÁ;MT;CENTRO NORTE;DIAMANTINO;CENTRO NORTE;189km;431km;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/MatoGrosso_Municip_NovaMaringa.svg/1200px-MatoGrosso_Municip_NovaMaringa.svg.png
510895;NOVA MONTE VERDE;MT;ALTO TAPAJÓS;ALTA FLORESTA;NORTE;170km;950km;https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/MatoGrosso_Municip_NovaMonteVerde.svg/300px-MatoGrosso_Municip_NovaMonteVerde.svg.png
510622;NOVA MUTUM;MT;TELES PIRES;SINOP;NORTE;250km;270km;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/MatoGrosso_Municip_NovaMutum.svg/300px-MatoGrosso_Municip_NovaMutum.svg.png
510617;NOVA NAZARÁ;MT;MÉDIO ARAGUAIA;ÁGUA BOA;LESTE;58km;773km;https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/MatoGrosso_Municip_NovaNazare.svg/300px-MatoGrosso_Municip_NovaNazare.svg.png
510623;NOVA OLÍMPIA;MT;MÉDIO NORTE MATOGROSSENSE;TANGARÁ DA SERRA;CENTRO NORTE;38km;215km;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/MatoGrosso_Municip_NovaOlimpia.svg/300px-MatoGrosso_Municip_NovaOlimpia.svg.png
510619;NOVA SANTA HELENA;MT;NORTE MATOGROSSENSE;COLÍDER;LESTE;32km;668km;https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/MatoGrosso_Municip_NovaSantaHelena.svg/1200px-MatoGrosso_Municip_NovaSantaHelena.svg.png
510624;NOVA UBIRATÃ;MT;TELES PIRES;SINOP;NORTE;160km;510km;https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/MatoGrosso_Municip_NovaUbirata.svg/300px-MatoGrosso_Municip_NovaUbirata.svg.png
510625;NOVA XAVANTINA;MT;GARÇAS ARAGUAIA;BARRA DO GARÇAS;LESTE;150km;660km;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/MatoGrosso_Municip_NovaXavantina.svg/300px-MatoGrosso_Municip_NovaXavantina.svg.png
510627;NOVO HORIZONTE DO NORTE;MT;VALE DO ARINOS;JUARA;NORTE;25km;670km;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/MatoGrosso_Municip_NovoHorizontedoNorte.svg/1200px-MatoGrosso_Municip_NovoHorizontedoNorte.svg.png
510626;NOVO MUNDO;MT;VALE DO PEIXOTO;PEIXOTO DE AZEVEDO;NORTE;79km;779km;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/MatoGrosso_Municip_NovoMundo.svg/300px-MatoGrosso_Municip_NovoMundo.svg.png
510631;NOVO SANTO ANTÔNIO;MT;NORTE ARAGUAIA KARAJÁ;SÃO FÉLIX DO ARAGUAIA;LESTE;98km;1150km;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/MatoGrosso_Municip_NovoSantoAntonio.svg/1200px-MatoGrosso_Municip_NovoSantoAntonio.svg.png
